"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"Dirty Rotten Scoundrels",7.102,"1988-12-14",42000000,6500000,"en","Two con men try to settle their rivalry by betting on who can be the first to swindle a young American heiress out of $50,000.","Crime, Comedy"
"Beaches",6.6,"1988-12-21",57041866,20000000,"en","A privileged rich debutante and a cynical struggling entertainer share a turbulent, but strong childhood friendship over the years.","Comedy, Drama"
"Dangerous Liaisons",7.217,"1988-12-21",34670720,14000000,"en","In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned.","Drama, Romance"
"Talk Radio",7.067,"1988-12-21",3468572,4000000,"en","A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national.","Drama"
"Hellbound: Hellraiser II",6.396,"1988-12-23",12090735,3000000,"en","Julia Cotton, her step daughter Kirsty, and the sinister Dr. Channard are sent into the dominion of the Cenobites themselves.","Horror, Thriller, Fantasy"
"The Boost",5.5,"1988-12-23",784990,8000000,"en","Lenny Brown moves to California to find his fortune in tax shelter investments. When the federal government changes the tax laws, poor Lenny finds himself $700,000 in hock with nowhere to turn. His friend, Joel, introduces him to cocaine to give Lenny that needed """"boost"""". What ensues next is a descent into drug addiction and insanity as Lenny tries to regain control of his life, all the while needing that extra """"boost"""".","Drama, Romance"
"Red Scorpion",5.947,"1988-12-24",4192440,16000000,"en","A Russian KGB agent is sent to Africa to kill an anti-Communist black revolutionary. However, he has a change of heart when he sees how the Russians and their Cuban allies are killing and repressing the locals, so he switches sides and helps the rebels.","Adventure, Action, War"
"DeepStar Six",5.4,"1989-01-13",8143225,8000000,"en","The crew of an experimental underwater nuclear base are forced to struggle for their lives when their explorations disturb a creature who threatens to destroy their base.","Action, Horror, Thriller, Science Fiction"
"Gleaming the Cube",5.913,"1989-01-13",2777280,10000000,"en","An Orange County teenager's carefree life of ditching class and skateboarding abandoned pools comes to a screeching halt when someone close to him dies. The cops rule the death a suicide, but the bereaved skater believes he was murdered. It's up to him to solve the case, with a skateboard.","Crime, Thriller, Action"
"Parents",5.8,"1989-01-27",870532,3000000,"en","Michael is a young boy living in a typical 1950s suburbanite home... except for his bizarre and horrific nightmares, and continued unease around his parents. Young Michael begins to suspect his parents are cooking more than just hamburgers on the grill outside, but has trouble explaining his fears to his new-found friend Sheila, or the school's social worker.","Comedy, Horror"
"Physical Evidence",5.17,"1989-01-27",3560932,17000000,"en","A police officer suspended and now accused of murder is forced to join forces with his court-appointed attorney to assemble the pieces of a deadly puzzle to find the missing link before time runs out.","Thriller, Crime"
"Three Fugitives",6.667,"1989-01-27",40600000,15000000,"en","On his first day after being released from jail for 14 armed bank robberies, Lucas finds himself caught up in someone else's robbery. Perry has decided to hold up the local bank to raise money so that he can keep his daughter, Meg, and get her the treatment she needs. Dugan, a detective, assumes Lucas helped plan the robbery, and hence Lucas, Perry and Meg become three fugitives.","Comedy, Crime"
"Kinjite: Forbidden Subjects",5.5,"1989-02-03",3416846,5000000,"en","A brutal Los Angeles police lieutenant is determined to bust up an organization that forces underage girls into prostitution.","Action, Drama, Thriller"
"Major League",6.9,"1989-02-16",75000000,11000000,"en","When Rachel Phelps inherits the Cleveland Indians from her deceased husband, she's determined to move the team to a warmer climate—but only a losing season will make that possible, which should be easy given the misfits she's hired. Rachel is sure her dream will come true, but she underestimates their will to succeed.","Comedy"
"Bill & Ted's Excellent Adventure",6.9,"1989-02-17",40500000,10000000,"en","Bill and Ted are high school buddies starting a band. They are also about to fail their history class—which means Ted would be sent to military school—but receive help from Rufus, a traveller from a future where their band is the foundation for a perfect society. With the use of Rufus' time machine, Bill and Ted travel to various points in history, returning with important figures to help them complete their final history presentation.","Adventure, Comedy, Science Fiction"
"The 'Burbs",6.759,"1989-02-17",49100000,18000000,"en","When secretive new neighbors move in next door, suburbanite Ray Peterson and his friends let their paranoia get the best of them as they start to suspect the newcomers of evildoings and commence an investigation. But it's hardly how Ray, who much prefers drinking beer, reading his newspaper and watching a ball game on the tube expected to spend his vacation.","Comedy, Horror, Thriller"
"Skin Deep",6.146,"1989-03-03",45000000,8500000,"en","Hard-drinking novelist Zach Hutton spirals out of control after his wife and mistress both leave him. Alone and crippled by a bad case of writer's block, Zach slips in and out of casual relationships and one-night stands, while his drinking becomes more and more severe. With the help of a bartender and his therapist, Zach confronts his demons — women and alcohol.","Romance, Comedy, Drama"
"Police Academy 6: City Under Siege",5.114,"1989-03-09",33200000,15000000,"en","Our favourite police men are called together to deal with a gang who rob banks and jewelers. Using their various talents as well as their extraordinary luck, the crooks stand no chance against our men and women in blue.","Comedy, Crime"
"Chances Are",6.6,"1989-03-10",16300000,16000000,"en","Louie Jeffries is happily married to Corinne. On their first anniversary, Louie is killed crossing the road. Louie is reincarnated as Alex Finch, and twenty years later, fate brings Alex and Louie's daughter, Miranda, together. It's not until Alex is invited to Louie's home that he begins to remember his former life, wife and best friend. Of course, there's also the problem that he's attracted to Louie's/his own daughter.","Fantasy, Comedy, Romance"
"New York Stories",6.249,"1989-03-10",10763469,15000000,"en","Get ready for a wildly diverse, star-studded trilogy about life in the big city. One of the most-talked about films in years, New York Stories features the creative collaboration of three of America's most popular directors, Martin Scorsese, Francis Coppola, and Woody Allen.","Comedy, Drama, Romance"
"Fletch Lives",6,"1989-03-17",35150960,8045760,"en","Fletch is a fish out of water in small-town Louisiana, where he's checking out a tumbledown mansion he's inherited. When a woman he flirts with turns up dead, he becomes a suspect and must find the killer and clear his name.","Comedy, Crime, Mystery"
"Leviathan",5.937,"1989-03-17",15704614,25000000,"en","Underwater deep-sea miners encounter a Soviet wreck and bring back a dangerous cargo to their base on the ocean floor with horrifying results. The crew of the mining base must fight to survive against a genetic mutation that hunts them down one by one.","Adventure, Horror, Thriller, Science Fiction"
"Shocker",5.6,"1989-03-23",16554699,5000000,"en","About to be electrocuted for a catalog of heinous crimes, the unrepentant Horace Pinker transforms into a terrifying energy source. Only young athlete Jonathan Parker, with an uncanny connection to him through bizarre dreams, can fight the powerful demon.","Horror, Thriller, Fantasy"
"Heathers",7.3,"1989-03-31",1100000,3000000,"en","A girl who halfheartedly tries to be part of the ""in crowd"" of her school meets a rebel who teaches her a more devious way to play social politics: by killing the popular kids.","Comedy, Crime"
"Cyborg",5.677,"1989-04-07",10166459,500000,"en","A martial artist hunts a killer in a plague-infested urban dump of the future.","Science Fiction, Action, Thriller, Adventure"
"My Left Foot: The Story of Christy Brown",7.5,"1989-04-07",14743391,645180,"en","No one expects much from Christy Brown, a boy with cerebral palsy born into a working-class Irish family. Though Christy is a spastic quadriplegic and essentially paralyzed, a miraculous event occurs when, at the age of 5, he demonstrates control of his left foot by using chalk to scrawl a word on the floor. With the help of his steely mother — and no shortage of grit and determination — Christy overcomes his infirmity to become a painter, poet and author.","Drama"
"Say Anything...",7.1,"1989-04-14",20036737,16000000,"en","Lloyd, an eternal optimist, seeks to capture the heart of Diane, an unattainable high school beauty and straight-A student. He surprises just about everyone-including himself-when she returns the sentiment. But Diane's over-possessive, divorced Dad disapproves and it's going to take more than just the power of love to conquer all.","Romance, Comedy, Drama"
"Kickboxer",6.8,"1989-04-20",14697005,1500000,"en","If your enemy refuses to be humbled... Destroy him. Accompanied by his brother Kurt (Van Damme), American kickboxing champion Eric Sloane (Dennis Alexio), arrives in Thailand to defeat the Eastern warriors at their own sport. His opponent: ruthless fighter and Thai champion, Tong Po. Tong not only defeats Eric, he paralyzes him for life. Crazed with anger, Kurt vows revenge.","Action, Thriller, Drama"
"Field of Dreams",7.108,"1989-04-21",84431625,15000000,"en","Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.","Drama, Fantasy"
"Pet Sematary",6.615,"1989-04-21",57500000,11500000,"en","After the Creed family's cat is accidentally killed, a friendly neighbor advises its burial in a mysterious nearby cemetery.","Horror, Drama"
"Speed Zone",4.4,"1989-04-21",3077361,18000000,"en","An illegal race that takes place over the United States and nothing will stop this bunch of racers except for the occasional cop or a damsel in distress. Jackie Chan's car is not in this one, but many new cars make up for that. Who will win? Who will crash? Who will not even finish? Sit down and buckle up for the ride of your life.","Comedy, Action"
"K-9",6.141,"1989-04-28",78247647,17000000,"en","The extravagant cop Michael Dooley needs some help to fight a drug dealer who has tried to kill him. A """"friend"""" gives him a dog named Jerry Lee (Officer Lewis), who has been trained to smell drugs. With his help, Dooley sets out to put his enemy behind the bars, but Jerry Lee has a personality of his own and works only when he wants to. On the other hand, the dog is quite good at destroying Dooley's car, house and sex-life...","Action, Comedy, Crime"
"C.H.U.D. II: Bud the Chud",4.413,"1989-05-05",62405000,49200000,"en","A military experiment to create a race of super-warriors goes awry, as legions of murderous zombies are unleashed upon a suburban neighborhood.","Horror, Comedy, Science Fiction"
"The Return of Swamp Thing",5.6,"1989-05-11",192816,4000000,"en","The Swamp Thing returns to battle the evil Dr. Arcane, who has a new science lab full of creatures transformed by genetic mutation, and chooses Heather Locklear as his new object of affection.","Horror, Science Fiction"
"See No Evil, Hear No Evil",6.733,"1989-05-12",46900000,18000000,"en","A murder takes place in the shop of David Lyons, a deaf man who fails to hear the gunshot being fired. Outside, blind man Wally Karue hears the shot but cannot see the perpetrator. Both are arrested, but escape to form an unlikely partnership. Being chased by both the law AND the original killers, can the pair work together to outwit them all?","Comedy, Crime"
"Road House",6.6,"1989-05-19",30100000,15000000,"en","The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton has been hired to clean it up. He might not look like much, but the Ph.D.-educated bouncer proves he's more than capable – busting the heads of troublemakers and turning the roadhouse into a jumping hot spot. But Dalton's romance with the gorgeous Dr. Clay puts him on the bad side of cutthroat local big shot Brad Wesley.","Action, Thriller"
"Indiana Jones and the Last Crusade",7.8,"1989-05-24",474171806,48000000,"en","In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!","Adventure, Action"
"Pink Cadillac",5.4,"1989-05-26",12100000,19000000,"en","A bounty hunter helps out the wife of a bail-jumper after her child is kidnapped by neo-Nazi types.","Action, Adventure, Comedy, Drama, Romance"
"Warlock",6.3,"1989-06-01",9094451,7000000,"en","In 17th century New England, witch hunter Giles Redferne captures an evil warlock, but the conjurer eludes death with supernatural help. Flung into the future, the warlock winds up in the 1980s and plans to bring about the end of the world. Redferne follows the enchanter into the modern era and continues his mission, but runs into trouble in such unfamiliar surroundings. With the help of a young woman, can Redferne finally defeat the warlock?","Horror, Fantasy, Action"
"Dead Poets Society",8.314,"1989-06-02",235900000,16400000,"en","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.","Drama"
"No Holds Barred",4.8,"1989-06-02",16093651,8000000,"en","Rip is the World Wrestling Federation champion who is faithful to his fans and the network he wrestles for, but Brell, the new head of the World Television Network, wants Rip to wrestle for his network.","Action, Drama"
"Star Trek V: The Final Frontier",5.718,"1989-06-09",70200000,30000000,"en","The crew of the Federation starship Enterprise is called to Nimbus III, the Planet of Intergalactic Peace. They are to negotiate in a case of kidnapping only to find out that the kidnapper is a relative of Spock. This man is possessed by his life long search for the planet Sha Ka Ree which is supposed to be the source of all life. Together they begin to search for this mysterious planet.","Science Fiction, Action, Adventure, Thriller"
"Licence to Kill",6.4,"1989-06-13",156167015,32000000,"en","After capturing the notorious drug lord Franz Sanchez, Bond's close friend and former CIA agent Felix Leiter is left for dead and his wife is murdered. Bond goes rogue and seeks vengeance on those responsible, as he infiltrates Sanchez's organization from the inside.","Adventure, Action, Thriller"
"Do the Right Thing",7.756,"1989-06-14",37300000,6500000,"en","Salvatore """"Sal"""" Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.","Drama"
"Ghostbusters II",6.5,"1989-06-16",215394738,37000000,"en","Five years after they defeated Gozer, the Ghostbusters are out of business. When Dana begins to have ghost problems again, the boys come out of retirement to aid her and hopefully save New York City from a new paranormal threat.","Comedy, Fantasy"
"The Karate Kid Part III",5.884,"1989-06-16",38956288,12500000,"en","Despondent over the closing of his karate school, Cobra Kai teacher John Kreese joins a ruthless businessman and martial artist to get revenge on Daniel and Mr. Miyagi.","Action, Family, Drama, Adventure"
"Batman",7.228,"1989-06-21",411348924,35000000,"en","Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.","Fantasy, Action, Crime"
"Honey, I Shrunk the Kids",6.295,"1989-06-23",222724172,18000000,"en","The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.","Adventure, Comedy, Family, Science Fiction"
"The Gods Must Be Crazy II",7,"1989-07-01",9600000,7500000,"en","Xixo is back again. This time, his children accidentally stow away on a fast-moving poachers' truck, unable to get off, and Xixo sets out to rescue them. Along the way, he encounters a couple of soldiers trying to capture each other and a pilot and passenger of a small plane, who are each having a few problems of their own.","Action, Comedy"
"Weekend at Bernie's",6.376,"1989-07-05",30218387,6500000,"en","Two young insurance corporation employees try to pretend that their murdered employer is alive by puppeteering his dead body, leading a hitman to attempt to track him down to finish him off.","Comedy, Crime, Horror"
"Lethal Weapon 2",7.011,"1989-07-07",227900000,25000000,"en","In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!","Action, Adventure, Comedy, Crime, Thriller"
"UHF",6.669,"1989-07-21",6157157,5000000,"en","The eccentric new manager of a UHF television channel tries to save the station from financial ruin with an odd array of programming.","Comedy"
"When Harry Met Sally...",7.4,"1989-07-21",92823546,16000000,"en","During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.","Comedy, Romance, Drama"
"Friday the 13th Part VIII: Jason Takes Manhattan",4.9,"1989-07-28",14000000,5000000,"en","Jason ships out aboard a teen-filled """"love boat"""" bound for New York, which he soon transforms into the ultimate voyage of the damned.","Horror, Thriller"
"Turner & Hooch",6.4,"1989-07-28",71100000,13000000,"en","Scott Turner has 3 days left in the local police department before he moves to a bigger city to get some 'real' cases—not just misdemeanors. When Amos Reed is murdered, Scott sets himself on the case, but the closest thing to a witness to the murder is Reed's dog, Hooch, which Scott has to take care of—to avoid Hooch being 'put to sleep'.","Action, Comedy, Thriller, Crime, Family"
"Kiki's Delivery Service",7.822,"1989-07-29",4493017,6900000,"ja","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.","Animation, Family, Fantasy"
"Parenthood",6.692,"1989-07-31",126297830,20000000,"en","The story of the Buckman family and friends, attempting to bring up their children. They suffer/enjoy all the events that occur: estranged relatives, the 'black sheep' of the family, the eccentrics, the skeletons in the closet, and the rebellious teenagers.","Comedy, Drama"
"Lock Up",6.817,"1989-08-04",22099847,24000000,"en","Frank Leone is nearing the end of his prison term for a relatively minor crime. Just before he is paroled, however, Warden Drumgoole takes charge. Drumgoole was assigned to a hell-hole prison after his administration was publicly humiliated by Leone, and has now arrived on the scene to ensure that Leone never sees the light of day.","Action, Crime"
"sex, lies, and videotape",7,"1989-08-04",24741667,1200000,"en","Ann, a frustrated wife, enters into counseling due to a troubled marriage. Unbeknownst to her, her husband John has begun an affair with her sister. When John’s best friend Graham arrives, his penchant for interviewing women about their sex lives forever changes John and Ann’s rocky marriage.","Drama"
"The Abyss",7.347,"1989-08-09",90000098,70000000,"en","A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.","Adventure, Action, Thriller, Science Fiction"
"A Nightmare on Elm Street: The Dream Child",5.413,"1989-08-11",22200000,6000000,"en","Alice finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of her unborn child.","Horror, Thriller"
"Uncle Buck",6.776,"1989-08-16",79300000,15000000,"en","Buck Russell, a lovable but slovenly bachelor, suddenly becomes the temporary caretaker of his nephew and nieces after a family emergency. His freewheeling attitude soon causes tension with his older niece Tia, loyal girlfriend Chanice and just about everyone else who crosses his path.","Comedy, Drama, Family"
"Blind Fury",6.557,"1989-08-17",2700000,20000000,"en","A blind Vietnam vet, trained as a swordfighter, comes to America and helps to rescue the son of a fellow soldier.","Action, Thriller"
"Casualties of War",7.1,"1989-08-18",18671317,22500000,"en","During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager.","Drama, History, War"
"Apartment Zero",6.771,"1989-09-02",670774,4000000,"en","In a rundown area of Buenos Aires, at the dawn of the 1980s, Adrian LeDuc owns both a struggling movie theater and a shabby apartment building filled with eccentric, squabbling tenants. To make ends meet, Adrian takes in a roommate, Jack Carney, but soon begins to suspect that the quiet American is responsible for a series of political assassinations that are rocking the city.","Thriller, Drama, Horror"
"Johnny Handsome",6.275,"1989-09-12",7237794,20000000,"en","A career criminal who has been deformed since birth is given a new face by a kindly doctor and paroled from prison. It appears that he has gone straight, but he is really planning his revenge on the man who killed his mentor and sent him to prison.","Crime, Drama"
"The Big Picture",5.874,"1989-09-15",117463,5000000,"en","Hollywood beckons for recent film school grad Nick Chapman, who is out to capitalize on the momentum from his national award-winning student film. Studio executive Allen Habel seduces Nick with a dream deal to make his first feature, but once production gets rolling, corporate reality begins to intervene: Nick is unable to control a series of compromises to his high-minded vision, and it's all he can do to maintain his integrity in the midst of filmmaking chaos.","Comedy, Romance"
"Black Rain",6.591,"1989-09-22",134212055,30000000,"en","Two New York cops get involved in a gang war between members of the Yakuza, the Japanese Mafia. They arrest one of their killers and are ordered to escort him back to Japan. However, in Japan he manages to escape, and as they try to track him down, they get deeper and deeper into the Japanese Mafia scene and they have to learn that they can only win by playing the game—the Japanese way.","Drama, Action, Thriller"
"Henry V",7.197,"1989-10-05",10200000,9000000,"en","Gritty adaption of William Shakespeare's play about the English King's bloody conquest of France.","War, Drama, History"
"Halloween 5: The Revenge of Michael Myers",5.333,"1989-10-12",11600000,3000000,"en","One year later, Michael Myers' traumatized young niece is horrified to discover she has a telepathic bond with her evil uncle... and that he is on the way back to Haddonfield to begin the carnage again.","Horror, Thriller, Fantasy"
"Look Who's Talking",6.274,"1989-10-12",297000000,7500000,"en","Mollie is a single working mother who's out to find the perfect father for her child. Her baby, Mikey, prefers James, a cab driver turned babysitter who has what it takes to make them both happy. But Mollie won't even consider James. It's going to take all the tricks a baby can think of to bring them together before it's too late.","Comedy, Romance"
"The Cook, the Thief, His Wife & Her Lover",7.4,"1989-10-13",7724701,2300000,"en","The wife of an abusive criminal finds solace in the arms of a kind regular guest in her husband's restaurant.","Crime, Drama"
"The Fabulous Baker Boys",6.6,"1989-10-13",18428904,13000000,"en","The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.","Comedy, Drama, Music, Romance"
"Drugstore Cowboy",7.09,"1989-10-20",4700000,2500000,"en","Portland, Oregon, 1971. Bob Hughes is the charismatic leader of a peculiar quartet, formed by his wife, Dianne, and another couple, Rick and Nadine, who skillfully steal from drugstores and hospital medicine cabinets in order to appease their insatiable need for drugs. But neither fun nor luck last forever.","Drama, Crime"
"Stepfather 2",5.39,"1989-11-03",1519796,1500000,"en","""Stepfather"" Jerry Blake escapes an insane asylum and winds up in another town, this time impersonating a marriage counselor. With a future wife and new stepson who love him, Blake eliminates anyone who stands in his way to building the perfect family.","Horror, Thriller"
"Best of the Best",6.513,"1989-11-10",1700000,5000000,"en","A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country--can they overcome their rivalry and work together to win?","Action"
"Communion",5.3,"1989-11-10",1919653,5000000,"en","A novelist's wife and son see him changed by an apparent encounter with aliens in the mountains.","Drama, Horror, Science Fiction, Thriller"
"Steel Magnolias",7.193,"1989-11-15",95904091,15000000,"en","A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.","Comedy, Drama, Romance"
"Harlem Nights",6.1,"1989-11-17",60864870,30000000,"en","'Sugar' Ray is the owner of an illegal casino and must contend with the pressure of vicious gangsters and corrupt police who want to see him go out of business. In the world of organised crime and police corruption in the 1920s, any dastardly trick is fair.","Comedy, Crime, Drama"
"Valmont",6.718,"1989-11-17",1132112,33000000,"en","Set in Baroque France, a scheming widow and her lover make a bet regarding the corruption of a recently married woman. The lover, Valmont, bets that he can seduce her, even though she is an honorable woman. If he wins, he can have his lover to do as he will. However, in the process of seducing the married woman, Valmont falls in love.","Drama, Romance"
"Back to the Future Part II",7.759,"1989-11-22",332000000,40000000,"en","Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.","Adventure, Comedy, Science Fiction"
"She-Devil",5.898,"1989-12-08",15400000,20000000,"en","A cunning and resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.","Comedy"
"The War of the Roses",6.882,"1989-12-08",160188546,26000000,"en","The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.","Comedy, Drama"
"Driving Miss Daisy",7.242,"1989-12-13",145793296,7500000,"en","The story of an old Jewish widow named Daisy Werthan and her relationship with her black chauffeur, Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters, in a time when those types of relationships were shunned.","Drama"
"Enemies, a Love Story",6.4,"1989-12-13",7754571,9500000,"en","A ghostwriter finds himself romantically involved with his current wife, a married woman and his long-vanished wife.","Comedy, Drama, Romance"
"Glory",7.483,"1989-12-15",26800000,18000000,"en","Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.","Drama, History, War"
"The Wizard",6.027,"1989-12-15",14278900,6000000,"en","A boy and his brother run away from home and hitch cross-country, with help from a girl they meet, to compete in the ultimate video-game championship.","Adventure, Comedy, Drama, Family"
"Godzilla vs. Biollante",7.3,"1989-12-16",7000000,5000000,"ja","After the previous Godzilla attack, a miniature arms race ensues to collect his cells. Concerned over Godzilla's possible return, the Japanese government uses the cells to create a new bio-weapon, ANEB (Anti-Nuclear Energy Bacteria). They seeks the aid of geneticist Genshiro Shiragami, who's experiments result in a new mutation.","Action, Science Fiction, Thriller, Horror"
"Always",6.299,"1989-12-22",74100000,31000000,"en","Aerial firefighter Pete risks himself and his vintage World War II airplane in a constant and death-defying quest to fight forest wildfires, much to the dismay of his girlfriend, Dorinda . His love for Dorinda and the advice of fellow pilot Al convince Pete to give up his perilous career, but he flies one last mission. Pete heroically saves Al's plane from certain destruction, but with supernatural consequences.","Romance, Fantasy, Drama"
"Tango & Cash",6.4,"1989-12-22",63408614,55000000,"en","Ray Tango and Gabriel Cash are narcotics detectives who, while both being extremely successful, can't stand each other. Crime Lord Yves Perret, furious at the loss of income that Tango and Cash have caused him, frames the two for murder. Caught with the murder weapon on the scene of the crime, the two have no alibi. Thrown into prison with most of the criminals they helped convict, it appears that they are going to have to trust each other if they are to clear their names and catch the evil Perret.","Action, Thriller, Comedy, Drama"
"Wild Orchid",5.255,"1989-12-22",11060485,7000000,"en","A woman lawyer becomes mesmerized by a self-made millionaire during an encounter in Rio setting off a series of erotic encounters.","Drama, Romance"
"Internal Affairs",6.262,"1990-01-12",27734391,15000000,"en","Keen young Raymold Avila joins the Internal Affairs Department of the Los Angeles police. He and partner Amy Wallace are soon looking closely at the activities of cop Dennis Peck whose financial holdings start to suggest something shady. Indeed Peck is involved in any number of dubious or downright criminal activities. He is also devious, a womaniser, and a clever manipulator, and he starts to turn his attention on Avila.","Crime, Drama"
"Tremors",6.886,"1990-01-19",48572000,11000000,"en","Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.","Horror, Action, Science Fiction, Comedy"
"Dark Angel",5.976,"1990-01-26",9200000,7000000,"en","Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...","Action, Thriller, Science Fiction, Crime, Horror"
"Heart Condition",5.524,"1990-02-02",4134992,10000000,"en","Racist police officer Jack Moony has a vendetta against Napoleon Stone, a charismatic black lawyer who is sleeping with Jack's old flame Crystal Gerrity. Jack has a heart attack, but his life is saved when he receives Stone's heart, since Stone died mysteriously the same night as Jack was stricken. Stone is not completely gone, however, and as a ghost he is all too happy to give Jack advice on how he should do his job and live his life.","Comedy, Crime, Drama, Fantasy"
"Hard to Kill",6,"1990-02-09",47410000,10000000,"en","Mason Storm, a 'go it alone' cop, is gunned down at home. The intruders kill his wife, and think they've killed both Mason and his son too. Mason is secretly taken to a hospital where he spends several years in a coma. His son meanwhile is growing up thinking his father is dead. When Mason wakes up, everyone is in danger - himself, his son, his best friend, his nurse - but most of all those who arranged for his death","Action, Drama"
"Loose Cannons",4.965,"1990-02-09",5585154,1500000,"en","Mac, the two-fisted, savvy cop finds that he's being saddled with a new partner, a known burnout, to work with him on a new and difficult case. The new partner is Ellis, an amazing detective, one who puts Sherlock Holmes to shame with his lightning-fast deductions. But he keeps assuming the personalities of entire casts of Television shows. This can be a problem when people begin shooting at them.","Comedy, Crime"
"Stanley & Iris",6.385,"1990-02-09",5820015,23000000,"en","An illiterate cook at a company cafeteria tries for the attention of a newly widowed woman. As they get to know one another, she discovers his inability to read. When he is fired, she takes on trying to teach him to read in her kitchen each night.","Drama, Romance"
"The Handmaid's Tale",6.091,"1990-02-15",5000000,13000000,"en","In a dystopicly polluted rightwing religious tyranny, a young woman is put in sexual slavery on account of her now rare fertility.","Drama, Science Fiction"
"Nightbreed",6.345,"1990-02-16",8862354,11000000,"en","Set up as the fall guy in a string of slasher murders, Boone decides he'll hide by crossing the threshold that separates """"us"""" from """"them"""" and sneak into the forbidden subterranean realm of Midian.","Horror, Fantasy, Action"
"La Femme Nikita",7.097,"1990-02-21",5000000,8538703,"fr","A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance – as a secret political assassin controlled by the government.","Action, Thriller"
"The Hunt for Red October",7.396,"1990-03-02",200500000,30000000,"en","A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!","Action, Adventure, Thriller"
